name,company_name,phone,email,address,industry_type,service_type,call_type,remarks,status,schedule_date
Paul hardwaer,Paul hardwaer,8777099581,na,dum dum ,Hardwaer ,inventory billing softwaer ,hot-call,Today customer told to come tomorrow morning after 11 apart// Google meet around 4 pm today customer bit interested need to overlook the demo n his own laptop pls send the link to me I will share to customer then will connect pls call customer if required he want to know the total price after demo physically//customer need revisit t and his need billing softwaer//just conversed with customer with u kindly send him the details thru whatsapp charges I told him 15000 he needs bifurcation n details (amitava ),Follow-Up,28-04-2025
Central modern school paikpara,Central modern school paikpara,8100333004,na,Kolkata ,school,school software ,follow-up, have school software now if required will contact for any requirements//(amitava ),Follow-Up,30-05-2025
Appolo diagnostic,Appolo diagnostic,9163542333,na,Kolkata ,Tyer shop ,Na,follow-up,entre paikpara owner was not available had a word with owners wife I left my visiting card told will call me some other day (amitava ),Follow-Up,29-04-2025
Cossipore school dumdum ,Cossipore school dumdum ,NA,na,dumdum,school,school software ,follow-up,software s maintained from Delhi through tenders website s available n Google told to visit website (amitava ),Follow-Up,29-04-2025
Pulse diagnostic baghbazar,Pulse diagnostic baghbazar,3371991800,na, baghbazar ,Pharmacy ,NA,follow-up,Pulse diagnostic baghbazar met them told to visit landsdown head office to meet administrative dept on monday I will visit on Monday (amitava ),Follow-Up,28-04-2025
Midland clinic ,Midland clinic ,8276000750,na, baghbazar ,Pharmacy ,na,follow-up,shyambazar met receptionist kept my card told me to contact the concerned next week (amitava ),Follow-Up,28-04-2025
Health caer diagnostic Center ,Health caer diagnostic Center ,NA,na,"b.t. road kolkata,39",Pharmacy ,na,follow-up,Met reception kept my card told will process to senior authority told will contact me (amitava ),Follow-Up,15-05-2025
uk concept internatainol school,uk concept internatainol school,6289131249//8910310122,alphasinthee@gmail.com,Harish chandra paul sarani road ,school,school software ,follow-up,Pls mail school software management mail id  (amitava ),Follow-Up,28-04-2025
Agilus diagnostic ,Agilus diagnostic ,NA,na,shyambazar ,Pharmacy ,na,follow-up,shyambazar concerned person not available told me to visit next week (amitava ),Follow-Up,28-04-2025
Dr BC Basak memorial dental clinic ,Dr BC Basak memorial dental clinic ,9831061434,na,Mohanlal street shyambazar,Pharmacy ,na,follow-up,clinic closed today will call and visit tomorrow (amitava ),Follow-Up,28-04-2025
Rajlaxmi Medical ,Rajlaxmi Medical ,827604240,rajlaxmimdl.164@gmail.com,",dum,dum road ",Pharmacy ,Hms softwer ,follow-up,kindly mail HMS inbuilt software details I had a word with the concerned (amitava ),Follow-Up,28-04-2025
Bajrangi fitness GYM,Bajrangi fitness GYM,8436288841,na,"146,dum,dum road ",GYM,NA,follow-up,Met concerned told me to call fix appointments with owner Bajrangi fitness GYM dumdum rd owner no 8436288841 (amitava ),Follow-Up,28-04-2025
The doctor diagonostic,The doctor diagonostic,7439212817,na,KOLKATA 700028,Pharmacy ,Doctor booking app ,follow-up,They have software but not upgraded one kindly provide doctor software as well as patient details included as well as webpage digital service mobile no provided ?? or mail them n detail (amitava ),Follow-Up,28-04-2025
CELL WEAL HEALTH TH CAER ,CELL WEAL HEALTH TH CAER ,9062234678,cellwellhelpdesk@gmail.com,KOLKATA 700028,Pharmacy ,patients software,follow-up,Met the concerned kindly mail doctor/patients software mail id (amitava ),Follow-Up,28-04-2025
unisex Gym,unisex Gym,9804619648,na,bipan mitra lane kolkata 70004,GYM,NA,follow-up,Told to call and visit next week I will visit (amitava ),Follow-Up,28-04-2025
peerless polyclinic ,peerless polyclinic ,8584802303,na,kolkata-700069,Pharmacy ,na,follow-up,peerless met hospital mam kept my card told will contact convey to senior authority for any additional features required (amitava ),Follow-Up,28-04-2025
paramount nursing home ,paramount nursing home ,3340188900,na,hazra road kolkata ,nursing home,NA,follow-up,Paramount nursing home hazra spoken to concerned kept my contact now they don't need may contact when required (amitava ),Follow-Up,15-05-2025
Pulse diagnostic pvt ltd ,Pulse diagnostic pvt ltd ,3371981800,na,kolkata sarat bose road 700026,Pharmacy ,na,follow-up,9836771500 met the admn dept kept my card and send my details to Chennai head office told me to contact middle of next month (amitava ),Follow-Up,01-05-2025
Splash salon,Splash salon,7044265377,na,kolkata sarat bose road 700026,salon,NA,follow-up, met the concerned they have software will call when required (amitava ),Follow-Up,28-04-2025
Bridge international school ,Bridge international school ,9088513117,bridgeinternationalschool@gmail.com,77/1/1hazra road kolkata  700029,school,NA,follow-up,kindly send school management software concerned was unavailable asked me to connect thru mail (amitava ),Follow-Up,28-04-2025
Motor world hazra,Motor world hazra,9167556082,na,77/1/1hazra road kolkata  700029,car dealer,Crm softwaer ,follow-up,need to overlook our crm software I met owner brother 9167556082 kindly mail (amitava ),Follow-Up,28-04-2025
lands downe nursing home  ,lands downe nursing home  ,NA,na,119 sarat bose road kolkata ,nursing home,NA,follow-up,They have inbuilt software kept my contact will call when required (amitava ),Follow-Up,15-05-2025
Beltala girls high school,Beltala girls high school,3324550096,na,kalighat ,school,banner promotion,follow-up,Beltala girls high school kalighat 03324550096 met ananda sir admn kept my contact told will try for banner promotion (amitava ),Follow-Up,28-04-2025
St Lawrence school,St Lawrence school,3324751959,na,ballygaunge,school,school software ,follow-up,St Lawrence school ballygaunge kept my contact will connect as per their need (amitava ),Follow-Up,15-05-2025
Bustee welfare centre,Bustee welfare centre,NA,bwc.institution@gmail.com,"love lock street,kolkata -70019",school,school software ,follow-up,ustee welfare society met Mr Tamal Chakraborty told us to mail school software management with introduction (amitava ),Follow-Up,28-04-2025
d.t nidhi prakash ,d.t nidhi prakash ,9999632346//9874632346,na,ballygaunge,Pharmacy ,na,follow-up,Met the doctors assistant told will call me after discussing with doctor right now not using any software (amitava ),Follow-Up,28-04-2025
Shanti wellness care,Shanti wellness care,90073353169,info@swcare.in,"50A, Sarat bose road kolkata 700025 ",Pharmacy ,diagnostic related software,follow-up, pls mail our introductory for clinical and diagnostic related software (amitava ),Follow-Up,28-04-2025
Kids carez,Kids carez,9831428123,na,Kolkata ,school,school management software,follow-up,Kids carez beckbagan told to contact next month 1st week (amitava ),Follow-Up,05-05-2025
atrium health caer ,atrium health caer ,9163192192,na,Kolkata ,Pharmacy ,NA,follow-up,Atrium health care beckbagan met concerned kept my card told will discuss and contact me (amitava ),Follow-Up,15-05-2025
Modern high school for girls ,Modern high school for girls ,NA,it@mhsforgirls.edu.in,Kolkata ,school,school management software,follow-up,Modern high school for girls ballygaunge met samantada told me to mail our school management software n detailed features mailid (amitava ),Follow-Up,28-04-2025
MG rungta academy ,MG rungta academy ,Na,na,Kolkata ,school,NA,follow-up,ballygaunge no software right now will contact if required (amitava ),Follow-Up,01-06-2025
The BSS school,The BSS school,Na,info@thebssschool.com,Kolkata ,school,school management software,follow-up, ballygaunge kindly mail school software management mail id  (amitava ),Follow-Up,28-04-2025
