name,company_name,phone,email,address,industry_type,service_type,call_type,remarks,status,schedule_date
mitra jyoti I clinic ,mitra jyoti I clinic ,8250281996,NA,"berachampa,hadipur ",pharmacy,website/doctor booking app,archive,Ringing,Follow-Up,
shiriti jewellers ,shiriti jewellers ,7679778349,NA,thakurnagar, jewellery shop ,website ,archive,Customer will thought about the service,Follow-Up,11-04-2025
taj agro nursery ,taj agro nursery ,8001444440,NA,kholapota ,nursery,e-commerce website ,hot-call,20th april he will pay,Follow-Up,20-04-2025
berachampa united nursing home ,berachampa united nursing home ,9732669454,NA,"berachampa,near hazi petrol pump",Nursing home ,website/doctor booking app,archive,Ringing,Follow-Up,
Bishop scott girls school purnea,Bishop scott girls school purnea,8825123911,NA,"purnia,bihar",school ,school management software ,archive,Ringing,Follow-Up,
SB Pioneer School ....Harpur Bazar,SB Pioneer School ....Harpur Bazar,082711 79758,NA,"Harpur, Goreakothi, Bihar",? Primary school,School management software,archive,Ringing,Follow-Up,
Dr. D Y Patil Pushapalata Patil International School,Dr. D Y Patil Pushapalata Patil International School,? 099059 44182,NA,"Patna, Bihar",? International school,School Management Software,archive,He will thought about the service,Follow-Up,
K.D Residential Public school,K.D Residential Public school,8294552880,NA,bihar,SCHOOL,school management software,archive,Ringing,Follow-Up,
PET NEVERLAND,PET NEVERLAND,9830454867,NA,NA,PET SHOP,WEBSITE ,follow-up,"WEBSITE DESIGN SENT, CUSTOMER WILL MAKE 50% OF ADVANCE BY TODAY, , payment followup, FOLLOWUP ON 10.04.2025//FOLLOWUP ON 11.04.2025",Follow-Up,11-04-2025
DISHA PUBLIC SCHOOL,DISHA PUBLIC SCHOOL,9230242488,NA,NA,SCHOOL,saas school software,follow-up,CUSTOMER NEED TO REMIND ABOUT HIS MONTHLY RECHARGE ON 20.04.2024,Follow-Up,20-04-2025
sunford international school,sunford international school,9735034172,NA,na,SCHOOL,saas school software,follow-up,CUSTOMER NEED TO REMIND ABOUT HIS MONTHLY RECHARGE ON 29.04.2025,Follow-Up,29-04-2025
TECH.COM,TECH.COM,9903988010,NA,NA,SCHOOL,saas school software,follow-up,CUSTOMER NEED TO REMIND ABOUT HIS MONTHLY RECHARGE ON 07.05.2025,Follow-Up,07-05-2025
Joynagar youth vocational training centre,Joynagar youth vocational training centre,9932934052,NA,na,SCHOOL,SCHOOL SOFTWARE ,follow-up,customer need to knock for registration,Follow-Up,11-04-2025
DAS INTIRIOR,DAS INTIRIOR,8013318395,NA,na,INTIRIOR,"WEBSITE,DM ONE YEAR",hot-call,Payment will be done in 24th,Follow-Up,24-04-2025
angel earley school,angel earley school,9732818542,NA,Kholpota,SCHOOL,school management software,archive,Ringing,Follow-Up,
St. Ann's Day School Bankra,St. Ann's Day School Bankra,9477177120,NA,Kabar Para Rd,? ICSE School,School management software,archive,Ringing,Follow-Up,
ilma english medium school ,ilma english medium school ,9231510342,NA,"khodar bazar,kolkata",school ,School Management software,archive,Ringing,Follow-Up,
Jayant Academy,Jayant Academy,06255 220 297,NA,"Raxaul, Bihar",school,School Management software,follow-up,he is busy right now,Follow-Up,11-04-2025
Radha Gobindo fruit and flower nursery,Radha Gobindo fruit and flower nursery,? 096093 38524,NA,"primary road, behind of Monitara, near High-school",Nursery,#N/A,archive,need to call back  5pm//call back on 12 april ,Follow-Up,12-04-2025
Saha pharmacy jhappukur main road,Saha pharmacy jhappukur main road,033 3597 6670,NA,"Bandel, West Bengal · 033 3597 6670",Pharmacy,#N/A,archive,Not Interested,Follow-Up,
2nd Heart Yoga,2nd Heart Yoga,062906 57643,NA,"Rajpur Sonarpur, Kolkata, West Bengal",Yoga Center,#N/A,archive,customer call back ,Follow-Up,11-04-2025
Lokenath Medical,Lokenath Medical,089022 96132,NA,"B K Paul, 98, BK Paul Ave ? 089022 96132",Pharmacy,#N/A,archive,Incoming off,Follow-Up,
Trimurti Tour And Travels,Trimurti Tour And Travels,096799 04627,NA,NA,Travel Agency ,#N/A,archive,archived,Follow-Up,
Green Apple,Green Apple,8582838731,NA,"Stop, As79, Ashoknagar, Sherpur, Sanimandir Road",Restaurant,#N/A,archive,need to call back 2 month latter ,Follow-Up,01-06-2025
PUSHPARGHYA PLANTS NURSERY,PUSHPARGHYA PLANTS NURSERY,7908705001,NA,"Vill Ganti, PO Thakurnagar, Dist 24 Pgs. N, pin- 743287, Thakurnagar, West Bengal 743287",Nursery,#N/A,archive,whatsapp details shear ,Follow-Up,11-04-2025
Biswas Clinic,Biswas Clinic,093323 18511,NA,"Bongaon Pakipara, Chakdaha - Bongaon Rd · 093323 18511",Pharmacy,#N/A,archive,Not Interested,Follow-Up,
MONDAL ENTERPRISE,MONDAL ENTERPRISE,91237 54185,NA,"Nabapally Circular Rd, near Tarakeswar Sweet Shop",Book store,#N/A,archive,Not Interested,Follow-Up,
Sikder Pharmacy,Sikder Pharmacy,090646 47919,NA,"Rmr6+68M, 88, Habra · 090646 47919",Pharmacy,#N/A,archive,use this service,Follow-Up,
NEW LIVIA TELESHOP,NEW LIVIA TELESHOP,082402 57809,NA,beliaghata,Mobile Shop,#N/A,archive,busy,Follow-Up,
sahajan jamadar,sahajan jamadar,9.19734E+11,NA,kolkata,Interior,#N/A,archive,busy,Follow-Up,
Biswas Medical,Biswas Medical,070033 25574,NA,"01, Colonel KP Gupta Rd, near Shubhashree Ladge · 070033 25574",Pharmacy,#N/A,archive,Not Interested,Follow-Up,
Parbon Caterer,Parbon Caterer,9836522366,NA,Barasat,Event Management,Website,archive,arichived,Follow-Up,
BS Memorial School,BS Memorial School,7278408181,NA,Howrah,School,School Management Software,archive,need to call back tomorrow 11 am,Follow-Up,11-04-2025
Edu Mission School ,Edu Mission School ,7634094748,NA,"chaok,bihar",school ,#N/A,archive,customar call back latter,Follow-Up,11-04-2025
Neighbor care m,Neighbor care m,080172 26735,NA,"Street no.165, Newtown Rajarhat",Pharmacy i,Doctor Booking app,archive,customer call back to 2 month latter,Follow-Up,01-06-2025
Podar International School Muzaffarpur CBSE,Podar International School Muzaffarpur CBSE,· 094722 77596,NA,"Mansurpur Chamarua, Bihar",school,School Management software,archive,Not Interested,Follow-Up,
Dev international school deoghar,Dev international school deoghar,9155611333,NA,bihar,SCHOOL,school management software,archive,use this service,Follow-Up,
B. D public school,B. D public school,9065523909,NA,bihar,SCHOOL,school management software,archive,use this service,Follow-Up,
Holy Angel's school ,Holy Angel's school ,9199484888,NA,bihar,SCHOOL,school management software ,archive,busy,Follow-Up,
kolkata public school ,kolkata public school ,9007691138// 9062806248,NA,"bishnupu,sounth 24 pargana, pin - 743377",SCHOOL,#N/A,follow-up,Monthly Renewal date Reminder,Follow-Up,09-04-2025
Maheshpur school ,Maheshpur school ,7407414296,NA,maheshpur ,school ,school mangment/website/android app,follow-up,bokking done,Follow-Up,11-04-2025
bengal model school,bengal model school,9733527373,NA,"berachampa,",school ,school mangment,archive,out of network,Follow-Up,
berachampa united nursing home ,berachampa united nursing home ,9732669454,NA,"berachampa,near hazi petrol pump",Nursing home ,website/doctor booking app,archive,Ringing,Follow-Up,
DS medical,DS medical,7001476042,NA,berachampa ,pharmacy,billing softwaer/website ,follow-up,he will visit to our office,Follow-Up,11-04-2025
bengal model school,bengal model school,9733527373,NA,"berachampa,",school ,school mangment,archive,Ringing,Follow-Up,
mitra jyoti I clinic ,mitra jyoti I clinic ,8250281996,NA,"berachampa,hadipur ",pharmacy,website/doctor booking app,archive,customar call back latter,Follow-Up,11-04-2025
Shree Gokul Gyanpeeth Kids School,Shree Gokul Gyanpeeth Kids School,?073209 17877,NA,"Nawada Rajauli Main Road Bake More Near Honda Showroom Nawada Bihar Main Road, Rajauli, near Honda Showroom",? School,School management software,archive,busy,Follow-Up,
"H S College, Udakishunganj, Madhepura","H S College, Udakishunganj, Madhepura",? 099557 37061,NA,"MWMQ+WGC, Birpur - Madhepura - Bihpur Rd",? College,School Management Software,archive,call ended,Follow-Up,
Darjeeling Public School,Darjeeling Public School,? 097097 43076,NA,"Sonbarsa, Bihar",? General education school,School Management Software,archive,Not Interested,Follow-Up,
Prayas Competitive center,Prayas Competitive center,9504842039,NA,bihar,SCHOOL,#N/A,archive,out of network,Follow-Up,
VIVEKANAND SHISHU MANDIR,VIVEKANAND SHISHU MANDIR,9748575203,NA,Na,SCHOOL,SCHOOL SOFTWARE CUSTOMIZE,follow-up,Payment done ,Follow-Up,16-04-2025
APEX CHILD ACADEMY,APEX CHILD ACADEMY,9836639398,NA,Na,SCHOOL,saas school software,follow-up,Monthly Renewal date Reminder,Follow-Up,30-04-2025
kids vedic bharatiya pre school,kids vedic bharatiya pre school,9735034172,NA,Na,SCHOOL,saas school software,follow-up,Monthly Renewal date Reminder,Follow-Up,24-04-2025
Maheshpur sabapalli high school,Maheshpur sabapalli high school,7407414296,NA,Na,SCHOOL,saas school software,follow-up,For Payment ,Follow-Up,12-04-2025
M.S public school ,M.S public school ,9507564244,NA,Bihar,school ,school management software ,archive,busy,Follow-Up,
Gandhi Memorial English Boarding School,Gandhi Memorial English Boarding School,098016 84417,NA,"Sri Krishna Nagar ,Ramgarhwa Main Road, near Ramgarhwa Police Station",school,School Management software,archive,need to google session,Follow-Up,11-04-2025
Go Education ,Go Education ,9051969397,NA,sauth jitpur,primary school ,School Management software,archive,need to  call back tomorrow 11am,Follow-Up,11-04-2025
Avijit Hardware,Avijit Hardware, 087778 72936,NA,"PFHM+6G4, Kalibari Road, Noapara, Road",? Hardware store,Inventory billing software,follow-up,Customer need visit ,Follow-Up,11-04-2025
dum dum govt school,dum dum govt school,098316 21048,NA,"dum,dum ",School,#N/A,archive,ringing,Follow-Up,
Edulove institu...,Edulove institu...,091237 35967,NA,Saradapally Main Rd,Academy,#N/A,archive,call back may last week,Follow-Up,25-05-2025
Bargodagodar Krishna Smriti Vidyaniketan,Bargodagodar Krishna Smriti Vidyaniketan,094343 60416,NA,"Bar Godagudar, West Bengal",School,#N/A,archive,ringing,Follow-Up,
Acharya Enterprise,Acharya Enterprise,096356 14363,NA,"Bhasila, DEGANGA, Station Road",Pharmacy,#N/A,archive,call back april last week,Follow-Up,25-04-2025
FLY INDIA HR CONSULTANCY,FLY INDIA HR CONSULTANCY,092391 31412,NA,"5+ years in business ? Kolkata, West Bengal",CONSULTANCY,#N/A,archive,need to call back,Follow-Up,11-04-2025
Bailey's School of Early Learning,Bailey's School of Early Learning,085849 83212,NA,"1st floor, Sabitri apartment, Chunabhati, near Narayana multispeciality hospital",School,#N/A,archive,need to call back,Follow-Up,11-04-2025
rahat enter prise ,rahat enter prise ,9735326992,NA,"MMXW+7RQ, Berachampa Baduria Rd, Kaukepara, West Benga",Second Hand Dealer,#N/A,archive,Ringing,Follow-Up,
Sarkar Medical,Sarkar Medical,099326 79327,NA,"2Rwh+X23, 83, Bangur Ave · 099326 79327",Pharmacy,#N/A,archive,call back 5min letter,Follow-Up,11-04-2025
Biswajit  Ngo,Biswajit  Ngo,9153263745,NA,"Basirhat, West Bengal",Ngo,#N/A,archive,ringing,Follow-Up,
Manthan Pet Care - Best pet clinic in Kolkata,Manthan Pet Care - Best pet clinic in Kolkata,070446 41996,NA,NA,Veterinary,#N/A,archive,need to call back,Follow-Up,11-04-2025
Arogya Doctor Clinic ( Remady Pharmacy),Arogya Doctor Clinic ( Remady Pharmacy),078658 54517,NA,Jirat Rd · 078658 54517,Gym,#N/A,archive,busy,Follow-Up,
Rajlaxmi Enterprise,Rajlaxmi Enterprise,099328 25091,NA,"Habra Arina Market Near ICIC Bank ATM PS, Jessore Rd · 099328 25091",Nursery,#N/A,archive,ringing,Follow-Up,
Sujit Das,Sujit Das,9.18013E+11,NA,kolkata,Second Hand Dealer,#N/A,archive,busy,Follow-Up,
Habra Kamini Kumar Girls High School,Habra Kamini Kumar Girls High School,03216 237 116,NA,"RJRX+QJH, Jirat Rd",Organaization ,#N/A,archive,ringing,Follow-Up,
Swami paramananda School,Swami paramananda School,7439757201,NA,Howrah,Nursery,School Management Software,archive,ringing,Follow-Up,
Idel Academy ,Idel Academy ,7543859753 // 7488158373,NA,kishanganj,Sallon,#N/A,archive,busy,Follow-Up,
DR CHANDRAKANTA...,DR CHANDRAKANTA...,098301 33735,NA," New Town, West Bengal",Pharmacy,"Website, digital marketing",archive,ringing,Follow-Up,
HOLY HARBOURR PUBLIC SCHOOL,HOLY HARBOURR PUBLIC SCHOOL,9614150152,NA,WESTBENGAL,Health spa,school management software,archive,call back 18 april,Follow-Up,18-04-2025
Dr. Harendra central public school,Dr. Harendra central public school,8084608660,NA,bihar,Pharmacy,School managementÂ software,archive,ringing,Follow-Up,
AAKASHDEEP COACHING & STUDY CENTER,AAKASHDEEP COACHING & STUDY CENTER,9304211534,NA,bihar,Pharmacy,school management software,archive,busy,Follow-Up,
Scholars valley school ,Scholars valley school ,7739962731,NA,bihar,Pharmacy,school management software ,archive,busy,Follow-Up,
Vivekanand Seva mission,Vivekanand Seva mission,9851373671,NA,Rudrapur,Landscaping,school management software,follow-up,update by golam,Follow-Up,12-04-2025
taj agro nursery ,taj agro nursery ,8001444440,NA,kholapota ,Event Management,e-commerce website ,archive,ringing,Follow-Up,
icha dana bank quit,icha dana bank quit,9382562691,NA,gobardanga ,School ,website ,archive,ringing,Follow-Up,
rajasthan marbel ,rajasthan marbel ,9775140855,NA,"matia,basirhat",school, static website/logo,archive,need to call back,Follow-Up,11-04-2025
shib poribahan,shib poribahan,7063441734,NA,basirhat,school,customize softwaer/tracking softwaer ,archive,Ringing,Follow-Up,
icha dana bank quit,icha dana bank quit,9382562691,NA,gobardanga ,school ,website ,archive,ringing,Follow-Up,
Scholars Valley School ,Scholars Valley School ,7739962731,NA,Bihar,ENTERPRISE ,school management software ,archive,busy,Follow-Up,
winset public school (Bakwa Chandraul,winset public school (Bakwa Chandraul,089298 09984,NA,"Bakwa, Bihar",SCHOOL,School management software,archive,Ringing,Follow-Up,
Central. Public. School. Benipatti,Central. Public. School. Benipatti,087097 35593,NA,CWQ3+RFH,SCHOOL,School Management Software,archive,call back 11 april 10am,Follow-Up,11-04-2025
Surya maya Public school,Surya maya Public school,8521763006,NA,bihar,SCHOOL,school management software,archive,ringing,Follow-Up,
SS CHILDREN ACADEMY,SS CHILDREN ACADEMY,7439762262,NA,NA,school ,#N/A,archive,busy,Follow-Up,
ANANDA KG SCHOOL,ANANDA KG SCHOOL,7432051710,NA,Na,marbel shop,saas school software,follow-up,Monthly Renewal date Reminder,Follow-Up,17-04-2025
nexus junior school,nexus junior school,9051515414,NA,Na,pharmacy,saas school software,follow-up,Monthly Renewal date Reminder,Follow-Up,24-04-2025
GD GOENKA TODDLER HOUSE,GD GOENKA TODDLER HOUSE,9002492883,NA,Na, jewellery shop ,saas school software,follow-up,Sas Model  payment Done ,Follow-Up,23-04-2025
AL HERA SHISHU SHIKSHA ACADEMY,AL HERA SHISHU SHIKSHA ACADEMY,7872435122,NA,Na,nursery,SCHOOL SOFTWARE ,follow-up,Sas Model  payment Done ,Follow-Up,12-04-2025
Doon institute of nursing and para medical sceinces,Doon institute of nursing and para medical sceinces,7033687777,NA,na,Nursing home ,saas school software,follow-up,Sas Model  payment Done ,Follow-Up,11-04-2025
R S Gym Centre,R S Gym Centre,9732700751,NA,"Deganga,",school ,"Website, crm softwaer ",archive,Ringing,Follow-Up,
Radiant Public school ,Radiant Public school ,9031148505,NA,Bihar,? Primary school,school management software/website/android application ,archive,Ringing,Follow-Up,
Divine Mercy School,Divine Mercy School,9830081048,NA,"1, Amta Rd",? International school,School management software,archive,busy,Follow-Up,
Sri Chaitanya Techno School-Howrah,Sri Chaitanya Techno School-Howrah,9903850033,NA,J983+8F3,SCHOOL,School management software,archive,ringing,Follow-Up,
Preeti Cloth Store,Preeti Cloth Store,094343 64790,NA,"Basirhat, West Bengal",PET SHOP,#N/A,archive,Need to call back later,Follow-Up,11-04-2025
shree bharati high school,shree bharati high school,9331866252,NA,"JC5V+JR9, 55/ 4 Helabattala, Road, Hatiara Extention, Hatiara, Rajarhat, Kolkata, West Bengal 700157",SCHOOL,#N/A,archive,Ringing,Follow-Up,
M R Medicare,M R Medicare,062903 71335,NA,Malancha Rd · 062903 71335,SCHOOL,#N/A,archive,Switch off,Follow-Up,
Suraksha pharmacy,Suraksha pharmacy,097335 74501,NA,bus stand,SCHOOL,#N/A,archive,Need to call back 12 april call back,Follow-Up,
infocus india public school  ,infocus india public school  ,9903353036,NA,qhx3+w5v,SCHOOL,#N/A,archive,Customer have use this service,Follow-Up,
Jayanti Travels,Jayanti Travels,098514 01188,NA,"Stop, As79, Ashoknagar, Sherpur, Sanimandir Road",INTIRIOR,#N/A,archive,Incorrect number,Follow-Up,
B-Uniqe Family ,B-Uniqe Family ,859712689,NA,bonga ,SCHOOL,#N/A,archive,Incorrect number,Follow-Up,
Jyotsna Medical,Jyotsna Medical,074789 84876,NA,"2RXG+986, Rate Para Rd · 074789 84876",? ICSE School,#N/A,archive,Need to call back after may first week,Follow-Up,01-05-2025
Bailey's School of Early Learning,Bailey's School of Early Learning,085849 83212,NA,"Howrah, West Bengal",school ,#N/A,archive,Archieved,Follow-Up,
Barasat Homeo Hall,Barasat Homeo Hall,098300 18462,NA,Swami Vivekananda Rd ? 098300 18462,school,#N/A,archive,Need visit after 7pm,Follow-Up,25-04-2025
Jamuna medical,Jamuna medical,070011 76634,NA,"11, 46Kalicharan ghosh road ? 070011 76634",Nursery,#N/A,archive,Need to call back 2 pm,Follow-Up,11-04-2025
The Amrita Pharmacy,The Amrita Pharmacy,089181 22606,NA,Banipur PGBT Rd · 089181 22606,Pharmacy,#N/A,archive,Need doctor booking app,Follow-Up,11-04-2025
sainik canteen,sainik canteen,9129139009,NA,bihar,Yoga Center,#N/A,archive,Share website and digital marketing,Follow-Up,11-04-2025
ecofriend nursery ,ecofriend nursery ,9547797608,NA,"edga, prithiba,road ",Pharmacy,#N/A,archive,Need to call back later,Follow-Up,11-04-2025
SM ENTERPRISE,SM ENTERPRISE,91237968687,NA,Barasat,Travel Agency ,Website,archive,Incorrect number,Follow-Up,
Acewo public school ,Acewo public school ,7070164511,NA,lakhisarai,Restaurant,#N/A,archive,Need to call back morning time/ ringing,Follow-Up,11-04-2025
Oxford Woodscott School,Oxford Woodscott School,· 072091 82901,NA,"Kandap, Patna, Bihar",Nursery,school management software,archive,Ringing,Follow-Up,
Disney school,Disney school,9051543595,NA,"Kalyani High way, Kolkata",Pharmacy,Website,archive,Ringing,Follow-Up,
mitra info tech  ,mitra info tech  ,9674386807,NA,"kokata,boro bazar ",Book store,#N/A,archive,No required,Follow-Up,
PANIHATI TRANNATH HIGH SCHOOL ,PANIHATI TRANNATH HIGH SCHOOL ,9883246322,NA,PANIHATI ,Pharmacy,#N/A,archive,Invalid number,Follow-Up,
Scholars valley school ,Scholars valley school ,7739962731,NA,bihar,Mobile Shop,school management software ,archive,Invalid number,Follow-Up,
Bachpan play school,Bachpan play school,7992215503,NA,bihar,Interior,School Management software,archive,Send school managent software,Follow-Up,11-04-2025
Vais,Vais,790151616,NA,deganga,Pharmacy,#N/A,archive,Incorrect number,Follow-Up,
Digital Dreams,Digital Dreams,7797833920,NA,berachampa ,Event Management,"Website, digital marketing",archive,Customer will call back later,Follow-Up,11-04-2025
mordern seva pharmacy ,mordern seva pharmacy ,8918766042,NA,habra ,School,website ,archive,Need to call back may,Follow-Up,01-05-2025
Maheshpur school ,Maheshpur school ,7407414296,NA,maheshpur ,school ,school mangment/website/android app,archive,Ringing,Follow-Up,
ghosh mobile ,ghosh mobile ,9735263061,NA,thakurnagar,Pharmacy i,website ,archive,Ringing,Follow-Up,
mordern seva pharmacy ,mordern seva pharmacy ,8918766042,NA,habra ,school,website ,archive,Need to call back may,Follow-Up,01-05-2025
Holy Angel's school ,Holy Angel's school ,9199484888,NA,Bihar,SCHOOL,school management software ,archive,Ringing,Follow-Up,
Madhepura Public School,Madhepura Public School,090061 09321,NA,"Madhepura, Bihar",SCHOOL,School management software,archive,Ringing,Follow-Up,
Gayatri vidyapeeth Residential School,Gayatri vidyapeeth Residential School,? 082988 46178,NA,"Madnani Ln, near jubba sahni park, opp. ICICI BANK",SCHOOL,School Management Software,archive,Need to call back 5 pm,Follow-Up,11-04-2025
Karishma Convent School,Karishma Convent School,? 097098 60606,NA,"Bhagalpur, Bihar",SCHOOL,School Management Software,archive,Ringing,Follow-Up,
North India public school,North India public school,9576432021,NA,bihar,school ,school management software,archive,Ringing,Follow-Up,
indira gandhi school,indira gandhi school,6291820061,NA,Na,school ,#N/A,follow-up,Monthly Renewal date Reminder,Follow-Up,16-04-2025
ST JOSEPH ACADEMY,ST JOSEPH ACADEMY,9073224501,NA,Na,Nursing home ,saas school software,follow-up,Monthly Renewal date Reminder,Follow-Up,23-04-2025
ARYAN TEMPLE OF MARTIAL ARTS,ARYAN TEMPLE OF MARTIAL ARTS,9735034172,NA,Na,pharmacy,saas school software,follow-up,Sas Model  payment Done ,Follow-Up,23-04-2025
LITTLE SWALLOW PLAY SCHOOL,LITTLE SWALLOW PLAY SCHOOL,9933958648,NA,Na,school ,SCHOOL SOFTWARE ,follow-up,Sas Model  payment Done ,Follow-Up,11-04-2025
unique study corner,unique study corner,8653710589,NA,Na,pharmacy,saas school software,follow-up,Sas Model  payment Done ,Follow-Up,11-04-2025
The Royal Motors,The Royal Motors,74328 55468,NA,"Deganga,",? School,website/Digital Marketing ,archive,Need to call back last week,Follow-Up,25-04-2025
SHIS SHISHU BIKASH ACADEMY,SHIS SHISHU BIKASH ACADEMY,7797836316,NA,West Bengal ,? College,school management software ,archive,Arrange google meeting,Follow-Up,11-04-2025
"ST. PAUL'S SCHOOL MEHSI, BIHAR","ST. PAUL'S SCHOOL MEHSI, BIHAR",098016 84417,NA,Na,? General education school,School Management software,archive,Need to call back 5 pm,Follow-Up,11-04-2025
Surendranath Girl's High School,Surendranath Girl's High School,3326586047,NA,"H7JQ+C7H SurendraNath ghosh, Baksara Rd",SCHOOL,School Management software,archive,Invalid number,Follow-Up,
