name,company_name,phone,email,address,industry_type,service_type,call_type,remarks,status,schedule_date
Puspita,Puspita Nursery,8017334413,NA,Nursery Nursury,Nursury Plant,NA,Hot Call,CM SAID HE WAS BUSY WRIGHT NOW AND NEED TO CALL  BACK,Pending,11/18/2024
Traditional,Traditional Nursery,9832288739,NA,Nursery Nursury,nursery,NA,Hot Call,cm need to call back ,Pending,11/25/2024
Mondal,Mondal Nursury,6295598133,NA,Chakla,Nursury,NA,Hot Call,CUSTOMER SAID HE WILL AS SOON AS POSSIBLE HE WAS VISIT TO BRANCH// CUSTOMER SAID PLEASE VISIT HER OFFICE //CUSTOMER ADVANCE PAYMENT DONE  ,Pending,11/7/2024
Right,Right Enter ( Right Enterprise ),085828 65069,NA,"Panchavati Complex, Haldiram, VIP Road",Real Estate,NA,Hot Call,CUSTOMER TOLD TO CALL BACK AFTER 11AM 20THNOV,Pending,12/10/2024
Suraksha,Suraksha pharmacy,097335 74501,NA,bus stand,Pharmacy,NA,Hot Call,CUSTOMER NEED WEBSITE AND NEED TO CALL BACK 4 : 50 PM ,Pending,1/2/2025
Acharya,Acharya Enterprise,096356 14363,NA,"Bhasila, DEGANGA, Station Road",Pharmacy,NA,Hot Call,CUSTOMER NEED TO CALL BACK 15 NOV  11 AM  AND HE  NEED WEBSITE ,Pending,11/15/2024
PIR,PIR GORACHAND BUILDERS,086701 28299,NA,"Berachampa, Nurjahan Rd",Builders,NA,Hot Call,"CUSTOMER IS INTRESTED TO VISIT COMPANY ON 23RD NOV, AT AFTERNOON.",Pending,1/29/2025
Preeti,Preeti Cloth Store,094343 64790,NA,"Basirhat, West Bengal",Garments Shop,NA,Hot Call,customer need  a  meeting 9 nov 4.30 pm  ,Pending,12/3/2024
Bideepa,"Bideepa Academy|""Good location""",098364 26686,NA," 9, Kalibari Rd",School,NA,Hot Call,CUSTOMER WANTS TO TALK WITH THE SUPERVISORS 22ND NOV AFTER 3:30PM. ABOUT THE PACKAGING OF DIGITAL MARKETING..,Pending,12/14/2024
Hat,Hat Baralei Bondhu NGO,070014 64389,NA,"Kolkata, West Bengal",NGO,NA,Hot Call,customer need to call back 2 pm ,Pending,11/16/2024
AMADER,AMADER PADAKHEP,090077 96139,NA,"Kolkata, West Bengal",NGO,NA,Hot Call,customer need to call back ,Pending,11/19/2024
SPEED,SPEED X,090382 07545,NA,"Kalyani, West Bengal",Second hand bike showroom,NA,Hot Call,CUSTOMER NEED WEBSITE AND NEED TO CALL BACK 4 DEC ,Pending,12/11/2024
Ranjit,Ranjit Electric ,9874113480,NA,NA,Auto Mobile ,NA,Hot Call,customer need to call back 18 nov ,Pending,11/28/2024
Dr,Dr. Anirban Sengupta II Best Dentist II Best Oral and maxillofacial surgeon II Best Dental surgeon II Oral Cancer Surgeon,098302 16701,NA,"EC-61, Fourth Avenue EC Block, Sector 1, ?NEAR MA KALI TEMPLE?, SALTLAKE DENTAL AND MAXILLOFACIAL FOUNDATION, near SALTLAKE CITY CENTRE ONE",Dental Practices in kolkata,NA,Hot Call,CUSTOMER WANTS MARKETING TEAM TO VISIT HIS CLINIC.NEED TO CALL BACK 26TH NOV. ,Pending,12/2/2024
Lokenath,Lokenath Medical,089022 96132,NA,"B K Paul, 98, BK Paul Ave · 089022 96132",Phermacy in kolkata,NA,Hot Call,CUSTOMER NEED TO CALL BACK  30 NOV 3 PM ,Pending,1/25/2025
FLY,FLY INDIA HR CONSULTANCY,092391 31412,NA,"5+ years in business · Kolkata, West Bengal",Recruitment agency in Kolkata,NA,Hot Call,CUSTOMER NEED WEBSITE. NEED TO CALL HIM LATER.,Pending,12/5/2024
Roudra,Roudra Bristi,033 2252 8369,NA,"11-A, Mirza Ghalib St",Grocery Stores in kolkata,NA,Hot Call,CUSTOMER SAID ITS HER STORE NUMBER. WE CAN VISIT AND TALK TO HER MANAGEMENT PERSON FOR ANY REQUIREMENT. SHE CANT PROVIDE HER MANAGEMENT NUMBER.,Pending,12/6/2024
KHMSD,KHMSD (Kolkata Horticulture & Manpower Skill Development),090626 56934,NA,"5+ years in business · 84, B/17, Dum Dum Rd",Landscaping Services in Kolkata,NA,Hot Call,BUSY,Pending,12/16/2024
